genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
afrofuturismo brasileiro,0.626,0.484,247120,0.81,0.000283,0.11,-4.579,0.0377,144.454,0.422,36,7,0
afropop,0.450454379,0.626076667,310666.8333,0.542787494,0.146607197,0.186533352,-10.70018962,0.080907133,117.1879121,0.637639366,32.59655602,7,1
afroswing,0.171333333,0.758333333,188818.3333,0.512,3.27E-05,0.101033333,-7.562666667,0.211,102.061,0.480333333,75.33333333,11,0
aggrotech,0.080590398,0.567460714,279414.3542,0.905883631,0.467744609,0.22679564,-6.373296577,0.048370818,130.7891122,0.525098393,6.213839286,0,1
alabama indie,0.237062056,0.546833333,237396.9444,0.654555556,0.1149166,0.119422222,-8.685277778,0.046127778,113.2971111,0.526388889,43.77777778,7,1
alabama metal,0.002748,0.4065,199820,0.866,1.11E-06,0.1406,-3.666,0.0741,110.375,0.446,49.5,6,1
alabama rap,0.121311336,0.700037667,224973.5159,0.620065547,0.000565435,0.181120626,-6.429681959,0.195104,116.4476805,0.486642565,56.56853473,11,1
alaska indie,0.0473,0.81,175313,0.353,0.000104,0.082,-9.536,0.0437,124.991,0.731,67,6,1
albanian hip hop,0.00829,0.783,468207,0.765,0.894,0.112,-9.47,0.0433,135.997,0.448,0,2,0
albanian pop,0.00287,0.683,187106,0.665,0,0.0839,-8.405,0.0499,127.968,0.667,46,8,0
alberta country,0.332289333,0.578166667,203421.62,0.651106667,1.25E-05,0.205895333,-6.783666667,0.055470667,116.7401333,0.605526667,47.68,7,1
alberta hip hop,0.33,0.885,144000,0.685,0,0.148,-6.429,0.0627,99.954,0.937,74.5,11,0
album rock,0.181419808,0.51731376,269234.6226,0.65991708,0.083199403,0.212517493,-9.865572725,0.056449728,124.4014408,0.548133555,35.42390811,9,1
albuquerque indie,0.380733061,0.52710101,235680.298,0.581621212,0.019269434,0.182660606,-8.571176768,0.034904545,125.9691212,0.531772727,52.96464646,9,1
alternative americana,0.534291667,0.506958333,246129.6583,0.380783333,0.082566427,0.097498333,-10.71789167,0.046413333,109.8121333,0.424975,51.69166667,7,1
alternative country,0.383908374,0.538320193,244022.3846,0.526049192,0.044745096,0.176032401,-10.41804256,0.047052721,122.5496199,0.519224066,37.09095749,7,1
alternative dance,0.146541102,0.601786523,264020.145,0.731550889,0.214561878,0.19688371,-6.674359009,0.057539674,126.2773826,0.543039594,47.3002745,2,1
alternative emo,0.102848954,0.472237005,224461.9284,0.73700404,0.048850344,0.162739064,-6.700039967,0.065692412,125.2952322,0.438142129,46.72919738,4,1
alternative hip hop,0.183243804,0.702619412,242870.2553,0.69234716,0.044253819,0.242494939,-7.612771298,0.246966733,108.3557203,0.611180084,44.96623678,11,1
alternative metal,0.070625416,0.462166707,247261.6893,0.816150328,0.113273066,0.202163637,-6.116013242,0.079407536,125.3292447,0.412577353,45.11373918,2,1
alternative pop,0.092365954,0.450544825,214472.641,0.782074617,0.185968613,0.168669605,-8.536531687,0.052078499,131.4266377,0.569496317,37.34490356,7,1
alternative pop rock,0.168378122,0.656768707,217077.1463,0.651629252,0.123666815,0.141619728,-5.095836735,0.086435714,135.4808129,0.625309524,53.6122449,7,1
alternative r&b,0.321723939,0.657093118,265613.9427,0.539662246,0.043496723,0.182084122,-8.293470189,0.138871804,117.8703426,0.459805508,56.95635079,1,1
alternative rock,0.151136626,0.476421472,244563.4468,0.714645402,0.179047436,0.192963501,-8.294448602,0.057738551,125.5951599,0.498318034,40.75484206,7,1
alternative roots rock,0.218744444,0.546511111,262296.7667,0.583411111,0.09823872,0.14933,-7.664222222,0.060425556,104.3742667,0.4747,41.34444444,9,1
amapiano,0.001132,0.7385,295331,0.75,0.13412,0.0682,-5.4465,0.0508,127.0165,0.2685,7.5,1,1
ambeat,0.368428571,0.779285714,239712.7143,0.729142857,0.147045714,0.202485714,-6.131714286,0.172514286,98.59928571,0.693714286,56.14285714,1,1
ambient,0.61376708,0.367727879,338320.1818,0.336989941,0.712010321,0.170095201,-18.04844782,0.05026424,112.2766077,0.22660144,38.06717897,2,1
ambient black metal,0.001325495,0.263833333,356480,0.768166667,0.768183333,0.326033333,-9.345,0.057366667,111.0275,0.241016667,43.5,4,1
ambient dub techno,0.00599,0.804,390326,0.229,0.926,0.109,-16.51,0.0937,124.998,0.295,0,6,1
ambient folk,0.450249228,0.577815342,270670.9319,0.48852159,0.319555472,0.190939453,-11.33607115,0.052800081,119.225337,0.352068504,28.57735043,2,1
ambient house,0.06545,0.636,294900,0.81225,0.1646,0.29,-12.18375,0.045725,115.005,0.4335,40.75,6,0
ambient idm,0.176666667,0.550333333,317732.3333,0.620666667,0.227009533,0.095733333,-9.275666667,0.059333333,113.904,0.284666667,44.66666667,8,1
ambient industrial,0.32066,0.50114,259950.74,0.514728,0.40614868,0.19188,-14.32892,0.059884,130.10404,0.43726,25.72,0,1
ambient pop,0.580819048,0.26302381,259229.1905,0.285985714,0.744650571,0.175052381,-15.91778571,0.033361905,99.39564286,0.17347381,46.83333333,4,1
ambient psychill,0.841,0.0878,428762.5,0.2215,0.8835,0.1605,-17.6225,0.0353,72.5905,0.0399,10,10,0
ambient techno,0.064269222,0.613788889,324251.2778,0.658722222,0.5321886,0.115338889,-9.697055556,0.066577778,125.3502222,0.350433333,18.83333333,7,1
ambient trance,0.711,0.363,296200.5,0.1315,0.46895,0.121,-22.065,0.03995,98.118,0.13505,15,10,1
ambient worship,0.59254596,0.291412121,347241.0316,0.360674242,0.274379183,0.119183586,-11.68768813,0.038621212,107.7259154,0.154654545,55.24873737,2,1
american 21st century classical,0.246,0.813,330846,0.605,0.00036,0.0847,-6.213,0.138,145.837,0.532,30,10,1
american choir,0.915483749,0.310583277,236179.5412,0.244087778,0.170483701,0.219562574,-19.65273144,0.093338307,108.0725281,0.179364599,25.5941421,10,1
american classical piano,0.976027709,0.352162138,334937.1681,0.096442772,0.819672144,0.139979583,-25.34398919,0.047451577,106.0500223,0.216056679,17.51938133,10,1
american contemporary classical,0.942149276,0.323322575,334736.6332,0.126612643,0.398622176,0.187435064,-24.48681885,0.054715195,94.8704759,0.274191042,24.17244318,9,1
american early music,0.794170667,0.309706667,178615.7733,0.263683333,0.008728393,0.253593333,-20.27252,0.052150667,107.9175267,0.232636,13.66666667,11,1
american folk revival,0.846597357,0.542239151,169481.2848,0.228905775,0.085215358,0.160387286,-15.52178919,0.077045462,111.8638711,0.53960054,17.6963988,2,1
american grindcore,0.094149954,0.466625,184313.125,0.965875,0.455875,0.2189375,-7.71,0.2073,131.666125,0.1278125,16,1,1
american metalcore,0.0029288,0.43725,223666.75,0.95375,0.001509125,0.15055,-4.643625,0.161125,114.14975,0.253,10.25,1,0
american modern classical,0.898145901,0.40719161,285188.3595,0.267634659,0.432505796,0.226981262,-17.33549511,0.129083185,120.2779758,0.399801942,8.124537436,7,1
american oi,0.26960406,0.53816,275649.14,0.74036,0.52688806,0.357078,-9.38556,0.04948,139.89254,0.60522,15.12,11,0
american orchestra,0.872849314,0.290285384,334403.1285,0.212845719,0.516812076,0.288656009,-19.14218929,0.057668128,101.5190263,0.263132265,19.58284499,10,1
american post-rock,0.397619286,0.47465,319998.2,0.344010714,0.777607143,0.131685,-15.91613571,0.038196429,117.2014071,0.187935714,48.22142857,4,1
american primitive,0.524945,0.378141429,499556.7182,0.421492071,0.859891607,0.125949214,-14.99716036,0.057579964,114.9000625,0.409104214,23.27464286,3,1
american romanticism,0.947655357,0.301619643,171723.7107,0.16855625,0.52863758,0.152460714,-18.24539643,0.04238125,100.1035054,0.247201786,13.58571429,10,1
american shoegaze,0.168917033,0.32,308323,0.651,0.694333333,0.189555556,-10.66411111,0.038644444,111.0257778,0.301,43.44444444,6,1
anadolu rock,0.540857143,0.537428571,244296.5714,0.459571429,0.118587143,0.188128571,-12.99485714,0.0651,92.78285714,0.586428571,46,2,0
anarcho-punk,0.062587156,0.306853846,211579.7989,0.861474725,0.011282249,0.282699121,-9.403282418,0.142693626,171.9398352,0.493415824,41.27802198,2,1
anglican liturgy,0.944428571,0.253991667,223125.0952,0.118526587,0.30270346,0.134622619,-21.7220754,0.056294841,85.16340476,0.218101984,21.46428571,0,1
animal singing,0.827666667,0.745,149662,0.579333333,0,0.288,-6.547,0.1849,103.6613333,0.840333333,10,7,0
anime,0.125703331,0.505156491,244109.372,0.820784371,0.077872072,0.229001048,-4.755094624,0.082831005,129.0874013,0.503043459,54.43082265,1,1
anime latino,0.082457303,0.406633333,215485.0333,0.9125,7.47E-06,0.199796667,-3.873666667,0.06083,143.8981333,0.580326667,63.93333333,11,1
anime rock,0.093604834,0.55411265,239901.4299,0.828207521,0.071834468,0.265830444,-3.994531282,0.122277863,123.7443477,0.490980684,48.93418803,11,1
anime score,0.327247804,0.526964904,215883.2207,0.643203399,0.278874128,0.205816887,-8.91612551,0.096366926,124.2590242,0.497529681,40.15899642,7,1
ann arbor indie,0.188311012,0.603011905,263692.2857,0.530666667,0.046020126,0.119417857,-7.386928571,0.070575595,102.0046607,0.411017857,39.10119048,2,1
anthem emo,0.127783643,0.510717235,203776.4079,0.72946572,0.028535827,0.167918788,-5.946806061,0.063877885,122.0026232,0.399412311,41.58320707,4,1
anthem worship,0.197000397,0.478378662,288462.1572,0.627219894,0.036641681,0.209411183,-7.296915522,0.054260656,124.8625542,0.344811992,48.87984984,9,1
anti-folk,0.427439295,0.505647213,233939.9958,0.521041663,0.157847002,0.178017295,-10.39601733,0.055630847,120.8088651,0.489782042,39.14763867,7,1
antilliaanse folklore,0.95,0.583,190787,0.566,0.847,0.109,-15.002,0.0476,124.095,0.932,0,0,1
antiviral pop,0.135886983,0.580805556,213324.9611,0.720833333,0.016526709,0.335035556,-6.411983333,0.111160556,128.1506,0.609788889,53.31111111,9,1
appalachian folk,0.796374599,0.551113757,180511.3062,0.32855491,0.123455995,0.180657128,-13.47511509,0.060246817,122.100439,0.650715056,18.47176948,9,1
arab alternative,0.194,0.736,210000,0.751,0.892,0.179,-5.963,0.0339,127.965,0.146,0,7,0
arab electronic,0.0884118,0.4724,263246.6667,0.634666667,0.74,0.189333333,-13.203,0.107966667,107.783,0.201866667,2.333333333,6,1
arab folk,0.771520126,0.423214045,454893.7062,0.334776836,0.308840441,0.254901277,-14.03892372,0.06724769,105.641082,0.472214032,17.46028306,7,1
arab groove,0.412228333,0.543666667,212859.1667,0.422416667,0.469251563,0.190416667,-12.97525,0.034641667,111.6435833,0.5035,39.41666667,10,0
arab pop,0.48480675,0.58345,331795.7319,0.515015458,0.111526685,0.158660033,-10.38922827,0.056991258,122.0244856,0.57628415,31.96928105,4,0
arabesk,0.47948,0.4266,230116.8,0.5896,2.55E-05,0.16364,-8.3804,0.0474,134.38,0.4412,40,5,1
arabic hip hop,0.391,0.5705,168760,0.667,1.31E-05,0.15045,-5.509,0.04615,106.165,0.7105,43.5,6,1
arabic jazz,0.907666667,0.487833333,397971.3333,0.171833333,0.3396255,0.126333333,-19.114,0.045783333,118.9391667,0.386,35.83333333,7,0
argentine ambient,0.9215,0.376333333,203868.1667,0.485333333,0.8345,0.105533333,-17.67683333,0.040466667,126.1966667,0.127866667,18,11,1
argentine heavy metal,0.08915,0.597,317169.75,0.6775,0.167955,0.12495,-8.8905,0.1269,139.003,0.46625,48.5,2,1
argentine hip hop,0.3535,0.739416667,316369.1667,0.703,2.52E-06,0.106608333,-5.161583333,0.134458333,130.94725,0.56575,61.41666667,8,1
argentine indie,0.374557619,0.543671429,286664.0024,0.533387619,0.15103285,0.161938095,-12.876,0.048613571,102.3338905,0.542442857,50.41190476,7,1
argentine metal,0.0185,0.62,293360,0.816,0.00741,0.0984,-6.208,0.222,179.992,0.668,48,1,1
argentine punk,0.042645,0.5485,245627,0.733,0.00233,0.247,-9.01,0.0467,119.752,0.5685,51,9,1
argentine reggae,0.083031667,0.8155,238011.4167,0.490916667,0.000206503,0.060741667,-8.029416667,0.04215,93.01491667,0.8045,64.75,3,1
argentine rock,0.249692559,0.588321259,255130.5567,0.623808068,0.07698805,0.174966382,-9.471222597,0.046517266,113.4047301,0.58459823,52.08546828,7,1
argentine telepop,0.194,0.622,201773,0.697,0,0.305,-11.158,0.0288,138.013,0.843,59,9,1
arizona punk,0.0539,0.422,280980,0.928,6.00E-07,0.245,-3.997,0.1227,122.881,0.35,48.5,11,1
arkansas country,0.514654744,0.58270864,184359.7601,0.484483761,0.010144885,0.228668765,-10.21746855,0.073223821,114.3680276,0.611300506,32.85158054,10,1
arkansas hip hop,0.21525,0.64825,217906,0.6585,0,0.24645,-5.155,0.2115,152.9655,0.40575,66.25,7,0
armenian folk,0.993,0.137,292000,0.128175,0.915,0.11675,-19.49525,0.046875,87.938,0.0445,36.75,7,1
art pop,0.345809023,0.520086972,254472.4526,0.546880501,0.260734868,0.181019891,-10.47616332,0.059187235,121.940905,0.421077317,43.84858292,7,1
art punk,0.165185205,0.540587862,225259.5373,0.712890629,0.236907341,0.200622431,-9.546010606,0.079054436,128.5092143,0.610959177,31.11869214,9,1
art rock,0.278000154,0.49845293,273080.7171,0.581676376,0.184394616,0.199454214,-11.13831146,0.058449625,121.4595219,0.513088809,34.06223462,9,1
art song,0.985362222,0.319290635,258417.5998,0.113611413,0.066889763,0.152852468,-19.62537095,0.056606222,110.3787104,0.160747754,13.70587302,10,1
asbury park indie,0.08465825,0.351583333,285791.6667,0.88175,0.351005,0.480383333,-9.48475,0.163266667,122.7479167,0.2705,0,6,1
asian american hip hop,0.329407949,0.727964744,218193.6218,0.715371795,0.000967693,0.166279487,-6.04263141,0.141081731,113.2177244,0.550823718,37.00320513,1,1
asmr,0.016903333,0.145666667,167900,0.683,0.873333333,0.438333333,-24.421,0.095133333,98.66866667,0.024433333,66.66666667,5,1
assyrian pop,0.0147,0.714,225959,0.809,5.44E-05,0.617,-7.092,0.0379,132.984,0.63,0,7,1
athens indie,0.103389788,0.475476793,240629.7268,0.77621443,0.159383208,0.187313411,-7.959528918,0.038497159,135.1281111,0.534832034,38.58834586,7,1
atl hip hop,0.127291795,0.734450302,245432.9238,0.653236839,0.012843762,0.190727037,-6.485729952,0.183229028,122.4117107,0.547149631,51.39124059,1,1
atl trap,0.114200896,0.737589006,228363.3481,0.664233811,0.001600747,0.195404354,-6.438355747,0.207337255,122.7128757,0.534994563,55.25865096,10,0
atlanta indie,0.1019375,0.760625,311685.625,0.6085,0.63557,0.169775,-7.6305,0.1019375,138.355375,0.362875,29.375,11,0
atlanta metal,0.00037346,0.49719697,223064.303,0.932227273,0.16684911,0.234640909,-5.060651515,0.067148485,114.0255,0.458363636,51.57575758,1,1
atlanta punk,0.172,0.565,259493,0.725,0,0.174,-3.606,0.0338,104.002,0.418,1,7,1
atmosphere,0.970777778,0.384883333,253843,0.176805556,0.777888889,0.138938889,-15.67116667,0.127833333,73.47144444,0.365644444,17.72222222,10,1
atmospheric black metal,0.001325495,0.263833333,356480,0.768166667,0.768183333,0.326033333,-9.345,0.057366667,111.0275,0.241016667,43.5,4,1
atmospheric dnb,0.03,0.683,267107,0.789,0.0105,0.0724,-9.034,0.0602,119.504,0.657,48,2,1
atmospheric post-metal,0.022748983,0.232,398947.5,0.58236625,0.805375,0.46236875,-12.0524375,0.04958125,111.4545625,0.18555625,20.75,9,1
atmospheric post-rock,0.00942,0.869,308613,0.888,0.00111,0.186,-2.731,0.0859,135.023,0.856,0,4,0
atmospheric sludge,3.84E-05,0.233,375480,0.805,0.554,0.482,-7.6895,0.05545,111.8225,0.2005,20.5,9,1
auckland indie,0.093892192,0.440583333,235050.8333,0.654,0.000496417,0.216516667,-6.195583333,0.063183333,128.9263333,0.2998,58,0,1
audiophile vocal,0.427415556,0.530333333,172945.2222,0.480044444,0.034097873,0.252533333,-14.05388889,0.040633333,101.9712222,0.487622222,22,5,1
aussie emo,0.00802,0.272,314960,0.807,0.000117,0.202,-5.219,0.053,106.953,0.117,16,0,1
aussietronica,0.054259154,0.598269231,241838.5577,0.720807692,0.025897935,0.160861538,-6.038346154,0.060767308,127.7276154,0.320123077,38.30769231,1,0
austin americana,0.294609542,0.583341667,219569.0833,0.708733333,0.129405796,0.18829,-6.862266667,0.094783333,118.8554417,0.46805,46.50833333,7,1
austin singer-songwriter,0.446266667,0.575133333,285163.1667,0.593833333,0.000597754,0.209333333,-10.79293333,0.036356667,135.1378667,0.5045,38.83333333,2,1
austindie,0.240794,0.6224,230951.525,0.725933333,0.055849452,0.18929,-6.600775,0.080308333,108.7891917,0.57165,56.81666667,7,1
australian alternative pop,0.272208333,0.776416667,181841.75,0.632666667,0.000246,0.127808333,-6.72275,0.142066667,120.6923333,0.338333333,35.16666667,6,0
australian alternative rock,0.101270698,0.474792297,227351.9694,0.752001681,0.125861549,0.174650918,-7.791131797,0.062275678,127.0011384,0.509429472,30.70024389,4,1
australian ambient,0.987,0.301,367667,0.0089,0.907,0.101,-30.804,0.0371,127.536,0.0897,60,1,1
australian americana,0.38163,0.5835,181143,0.4535,0.438,0.07015,-12.554,0.11795,147.0095,0.327,8.5,0,1
australian black metal,0.267026667,0.325333333,205644.6667,0.482333333,0.884333333,0.288666667,-11.59366667,0.052466667,117.7236667,0.1677,0,4,0
australian children's music,0.368325143,0.710528571,104918.0143,0.523442857,8.08E-06,0.1486,-9.639528571,0.086352857,144.9009714,0.724171429,45.18571429,2,1
australian classical,0.359525,0.357,128650,0.171075,0.454875,0.10745,-19.9035,0.0359,104.83375,0.15655,26.25,9,1
australian classical piano,0.969,0.113,194267,0.0732,0.772,0.107,-23.21,0.0496,174.599,0.0379,38,0,1
australian country,0.315446837,0.564735431,222160.0326,0.632729775,0.000183307,0.155831184,-7.78655591,0.040802465,120.3103549,0.528303922,30.06372549,7,1
australian dance,0.123150038,0.600660615,246457.8469,0.734042444,0.136086328,0.208975191,-6.711745981,0.075844709,135.3983609,0.488772407,38.76015098,7,1
australian electropop,0.226133726,0.577043611,212257.9754,0.6793075,0.065229757,0.20203987,-7.966463148,0.122865176,130.5755693,0.446827083,30.96203704,5,0
australian garage punk,0.185237667,0.480333333,224192.6667,0.842,0.220372333,0.220716667,-4.257666667,0.047683333,114.8273333,0.4755,43,7,1
australian hip hop,0.10413225,0.681213144,183478.1105,0.716316715,0.084077951,0.191096185,-7.421031636,0.109188158,121.0119438,0.576696244,54.19603443,9,1
australian house,0.102412292,0.694764706,326948.4118,0.769514706,0.355353476,0.161617647,-7.959426471,0.074504412,127.2544853,0.471014706,17.44117647,0,0
australian indie,0.168836129,0.573591581,285503.5067,0.693560423,0.072212134,0.146408321,-6.541111315,0.070576289,118.7755166,0.424175861,41.21615347,2,1
australian indie folk,0.40668,0.53656,254253.18,0.45464,0.0162912,0.18266,-11.02976,0.107808,114.59906,0.2924,61.44,8,1
australian indigenous,0.041975,0.5985,201167.25,0.83675,6.63E-05,0.27375,-4.7105,0.096825,107.3115,0.6625,24.5,2,1
australian metal,0.0316,0.636,167673,0.713,5.14E-05,0.371,-5.905,0.028,125.035,0.754,3,7,0
australian metalcore,0.035674173,0.406522222,237688.3778,0.805655556,0.163798893,0.120127778,-7.152422222,0.08795,138.3915,0.441722222,37.33333333,7,1
australian pop,0.210751067,0.592798362,233526.4776,0.675375319,0.068529946,0.193004752,-6.96448272,0.067700567,123.3041899,0.514344683,50.33201249,7,1
australian post-hardcore,0.0189248,0.4455,259187,0.6685,0.397677,0.08975,-9.8635,0.0376,147.61,0.43,19.5,9,1
australian post-punk,0.01559,0.430125,276101.75,0.575,0.31175975,0.2128625,-13.35925,0.0459875,115.189125,0.604125,26.875,7,1
australian psych,0.079353409,0.444964253,268332.0353,0.716969683,0.065043072,0.170798416,-5.524732127,0.093091719,121.869005,0.379578054,55.96108597,2,1
australian r&b,0.569,0.649,266160,0.435,3.29E-05,0.0969,-7.904,0.1345,105.7485,0.3075,63,2,1
australian reggae fusion,0.435,0.512,279672,0.397,0.00368978,0.1404,-10.4448,0.05952,113.2582,0.26792,61.8,4,0
australian rock,0.149899164,0.525155054,230818.7771,0.706172316,0.065815405,0.198466271,-8.46304198,0.050850654,121.0024488,0.582554294,38.5200551,2,1
australian singer-songwriter,0.3502675,0.514833333,119893.1667,0.507833333,0.091500517,0.173166667,-9.740666667,0.0401,125.3316667,0.548,24.33333333,10,1
australian ska,0.000186,0.275,229067,0.993,0,0.302,-5.474,0.138,148.725,0.19,45,9,0
australian talent show,0.193002067,0.589333333,197195,0.803,0.305010567,0.148733333,-7.309333333,0.1251,140.0596667,0.606666667,51,7,0
australian trap,0.38075,0.6845,160152.5,0.5585,0,0.30955,-8.27075,0.35625,140.724,0.405,33.75,7,1
australian underground hip hop,0.205,0.576,196000,0.582,0,0.15,-7.609,0.416,165.876,0.355,0,8,1
austrian choir,0.956563447,0.26875846,269131.3258,0.23581011,0.257010134,0.222220833,-18.78278819,0.059302336,99.39920234,0.20233851,14.89015152,2,1
austrian classical piano,0.987062921,0.364961069,391377.8733,0.13834915,0.868661827,0.103580051,-23.37018981,0.043290173,115.6995381,0.295506797,17.62268519,9,1
austrian orchestra,0.949921391,0.236099716,364076.1207,0.138748868,0.450234951,0.209829265,-20.94872293,0.048928257,121.9117911,0.177490383,23.30249319,10,1
austrian punk,0.000303,0.356,183167.5,0.9595,8.45E-05,0.273925,-3.8305,0.207,98.59975,0.427,0.5,4,1
austrian techno,0.076950333,0.767666667,266157,0.748333333,0.88,0.1722,-8.961,0.081866667,122.305,0.4734,0,6,0
austro-german modernism,0.845575238,0.343936429,261612.8876,0.243133393,0.453540046,0.245394107,-17.82874994,0.059480268,106.6084305,0.323070476,4.5275,5,1
auteur-compositeur-interprete quebecois,0.4424,0.522,262725,0.585,0,0.371,-8.4308,0.05276,103.948,0.2696,52,11,1
autoharp,0.886,0.727,148467,0.265,0,0.719,-14.013,0.0804,108.762,0.809,35,11,1
